date,nav,n_pos,ret
2024-04-03,1000000.0,0,0.0
2024-04-05,1000000.0,0,0.0
2024-04-08,1000000.0,0,0.0
2024-04-09,1000000.0,0,0.0
2024-04-10,1000000.0,0,0.0
2024-04-11,1000000.0,0,0.0
2024-04-12,1000000.0,0,0.0
2024-04-15,1000000.0,0,0.0
2024-04-16,1000000.0,0,0.0
2024-04-17,1000000.0,0,0.0
2024-04-18,1000000.0,0,0.0
2024-04-19,1000000.0,0,0.0
2024-04-22,1000000.0,0,0.0
2024-04-23,1000000.0,0,0.0
2024-04-24,1000000.0,0,0.0
2024-04-25,1000000.0,0,0.0
2024-04-26,1000000.0,0,0.0
2024-04-29,1000000.0,0,0.0
2024-04-30,1000000.0,0,0.0
2024-05-02,1000000.0,0,0.0
2024-05-03,1000000.0,0,0.0
2024-05-06,1000000.0,0,0.0
2024-05-07,1000000.0,0,0.0
2024-05-08,1000000.0,0,0.0
2024-05-09,1000000.0,0,0.0
2024-05-10,1000000.0,0,0.0
2024-05-13,1000000.0,0,0.0
2024-05-14,1000000.0,0,0.0
2024-05-16,1000000.0,0,0.0
2024-05-17,1000000.0,0,0.0
2024-05-20,1000000.0,0,0.0
2024-05-21,1000000.0,0,0.0
2024-05-22,1000000.0,0,0.0
2024-05-23,1000000.0,0,0.0
2024-05-24,1000000.0,0,0.0
2024-05-27,1000000.0,0,0.0
2024-05-28,1000000.0,0,0.0
2024-05-29,1000000.0,0,0.0
2024-05-30,1000000.0,0,0.0
2024-05-31,1000000.0,0,0.0
2024-06-03,1000000.0,0,0.0
2024-06-04,1000000.0,0,0.0
2024-06-05,1000000.0,0,0.0
2024-06-06,1000000.0,0,0.0
2024-06-07,1000000.0,0,0.0
2024-06-11,1000000.0,0,0.0
2024-06-12,1000000.0,0,0.0
2024-06-13,1000000.0,0,0.0
2024-06-14,1000000.0,0,0.0
2024-06-17,1000000.0,0,0.0
2024-06-18,1000000.0,0,0.0
2024-06-19,1000000.0,0,0.0
2024-06-20,1000000.0,0,0.0
2024-06-21,1000000.0,0,0.0
2024-06-24,1000000.0,0,0.0
2024-06-25,1000000.0,0,0.0
2024-06-26,1000000.0,0,0.0
2024-06-27,1000000.0,0,0.0
2024-06-28,1000000.0,0,0.0
2024-07-02,1000000.0,0,0.0
2024-07-03,1000000.0,0,0.0
2024-07-04,1000000.0,0,0.0
2024-07-05,1000000.0,0,0.0
2024-07-08,1000000.0,0,0.0
2024-07-09,1000000.0,0,0.0
2024-07-10,1000000.0,0,0.0
2024-07-11,1000000.0,0,0.0
2024-07-12,1000000.0,0,0.0
2024-07-15,1000000.0,0,0.0
2024-07-16,1000000.0,0,0.0
2024-07-17,994166.7835013353,5,-0.0058332164986647506
2024-07-18,1016446.6272785246,5,0.0224105694808292
2024-07-19,1006107.0980799204,5,-0.010172230317973208
2024-07-22,1027458.4055588903,5,0.021221704448479928
2024-07-23,1023746.1679323784,5,-0.0036130295946069646
2024-07-24,1016155.7433774894,5,-0.007414361872747244
2024-07-25,1007776.7415517475,5,-0.00824578503871054
2024-07-26,1012738.0046457795,5,0.00492297836363309
2024-07-29,1014788.9462735871,5,0.002025145317346766
2024-07-30,1006021.8107414849,5,-0.008639368377332146
2024-07-31,1020479.1667080012,5,0.014370817622592735
2024-08-01,1024461.4726572466,5,0.0039023882889173134
2024-08-02,1018907.5260077756,5,-0.005421332863856043
2024-08-05,1004619.8192516925,5,-0.014022574562840173
2024-08-06,997522.0680229686,5,-0.007065111689724346
2024-08-07,1000232.4819922294,5,0.0027171468743871774
2024-08-08,1003487.7152067117,5,0.003254476607277068
2024-08-09,1001058.0367451344,5,-0.0024212338873293993
2024-08-12,1002228.6611800932,5,0.0011693871803526434
2024-08-13,1001637.6165107789,5,-0.0005897303601538617
2024-08-14,999861.5866277588,5,-0.0017731261823082933
2024-08-15,1003695.035390341,5,0.0038339794366051283
2024-08-16,1014171.4487001944,5,0.01043784510279977
2024-08-19,1012559.2914115143,5,-0.0015896299296793703
2024-08-20,1000861.8301081104,5,-0.01155237170072032
2024-08-21,992453.977531641,5,-0.008400612675539043
2024-08-22,996321.4069921218,5,0.0038968350654400297
2024-08-23,991292.509321591,5,-0.0050474652408734055
2024-08-26,990309.6036693505,5,-0.0009915394729586025
2024-08-27,1000837.2086774039,5,0.010630619928400087
2024-08-28,983632.1398346415,0,-0.017190676659092907
2024-08-29,983632.1398346415,0,0.0
2024-08-30,983632.1398346415,0,0.0
2024-09-02,983632.1398346415,0,0.0
2024-09-03,983632.1398346415,0,0.0
2024-09-04,977894.9047906881,5,-0.005832703926203386
2024-09-05,996804.7476963247,5,0.019337295667456456
2024-09-09,988315.3498421246,5,-0.008516610573755412
2024-09-10,996904.6313845816,5,0.008690830860644816
2024-09-11,1009463.3906135357,5,0.012597753921066213
2024-09-12,999265.0727723637,5,-0.010102711931904373
2024-09-13,1008297.6018880422,5,0.009039172249480032
2024-09-16,1011297.9080605863,5,0.002975615698109335
2024-09-17,1015082.4185188019,5,0.0037422310755821364
2024-09-19,1024180.1753876754,5,0.008962579493937861
2024-09-20,1039611.7788366266,5,0.01506727411815989
2024-09-23,1041697.1364446259,5,0.002005900327844534
2024-09-24,1064520.8907577964,5,0.021910163246746883
2024-09-25,1068354.5201687315,5,0.003601272125534294
2024-09-26,1095601.1635990425,5,0.025503372631406895
2024-09-27,1121186.332927422,5,0.02335263066381965
2024-09-30,1156285.7440986054,5,0.03130560027389806
2024-10-02,1199087.9027106373,5,0.03701693878912149
2024-10-03,1175772.469329892,5,-0.019444307067095656
2024-10-04,1224918.0681370115,5,0.04179856229762646
2024-10-07,1234985.999449589,5,0.008219269169480015
2024-10-08,1150573.832050703,5,-0.06835070797280862
2024-10-09,1138203.1716972806,5,-0.010751731013535881
2024-10-10,1156139.4490081267,5,0.015758414452579306
2024-10-14,1137953.2222364293,5,-0.0157301325435264
2024-10-15,1113093.2543997024,5,-0.021846212437334978
2024-10-16,1110662.9601246184,5,-0.0021833698708332294
2024-10-17,1101928.7723730607,5,-0.00786394078594077
2024-10-18,1127293.8123156053,5,0.023018765439729583
2024-10-21,1115687.4991125388,5,-0.010295730426503225
2024-10-22,1101271.9486649428,0,-0.01292077795893809
2024-10-23,1101271.9486649428,0,0.0
2024-10-24,1101271.9486649428,0,0.0
2024-10-25,1101271.9486649428,0,0.0
2024-10-28,1101271.9486649428,0,0.0
2024-10-29,1094335.2882460114,9,-0.006298771549879789
2024-10-30,1097532.5965200095,9,0.0029216898224333487
2024-10-31,1104914.1705355435,9,0.006725608003752326
2024-11-01,1119300.975007564,9,0.013020743923527922
2024-11-04,1119153.7466041513,9,-0.00013153602712778767
2024-11-05,1140565.2181892996,9,0.019131841045179954
2024-11-06,1119920.2633438592,9,-0.018100635120379294
2024-11-07,1186672.1933484788,9,0.0596041809309813
2024-11-08,1196779.0579692426,9,0.008516981081561292
2024-11-11,1199405.5322523692,9,0.002194619186922653
2024-11-12,1166230.3558855192,9,-0.02765968263006946
2024-11-13,1140516.0739010829,9,-0.02204905905138399
2024-11-14,1092899.3371698195,9,-0.04175016715756796
2024-11-15,1088821.6825020383,9,-0.0037310432252074532
2024-11-18,1104407.5298330586,9,0.014314416751147974
2024-11-19,1113533.369790385,9,0.008263109142968128
2024-11-20,1138583.6431207967,9,0.022496203535532278
2024-11-21,1127190.6724675875,9,-0.010006265874311748
2024-11-22,1094385.710858808,9,-0.029103294065559226
2024-11-25,1078338.9676339726,9,-0.014662785767042497
2024-11-26,1084363.0140248735,9,0.005586412595399715
2024-11-27,1114299.9722867063,9,0.02760787473810522
2024-11-28,1091171.0699570302,9,-0.020756441626945565
2024-11-29,1092768.05219695,9,0.0014635489190366613
2024-12-02,1103898.3524425763,9,0.010185418784205424
2024-12-03,1110746.5703371153,9,0.006203667103394039
2024-12-04,1099088.016577899,9,-0.010496142027859645
2024-12-05,1101484.0184696296,9,0.0021799909157327324
2024-12-06,1111934.511257078,9,0.009487648129446358
2024-12-09,1141458.7636782473,9,0.026552150438959865
2024-12-10,1132233.8640691773,0,-0.008081675749147199
2024-12-11,1132233.8640691773,0,0.0
2024-12-12,1132233.8640691773,0,0.0
2024-12-13,1132233.8640691773,0,0.0
2024-12-16,1132233.8640691773,0,0.0
2024-12-17,1125893.6068726107,4,-0.005599777040566578
2024-12-18,1154931.8552737108,4,0.02579128989084456
2024-12-19,1161081.6159804552,4,0.005324782305261566
2024-12-20,1159257.8822662756,4,-0.0015707196540525326
2024-12-23,1164250.6029223439,4,0.00430682485100542
2024-12-24,1167403.6304832355,4,0.0027082035027314877
2024-12-27,1192898.9514475283,4,0.02183933671145022
2024-12-30,1193566.5018032354,4,0.0005596034390817906
2024-12-31,1195859.6127566113,4,0.0019212259642940044
2025-01-02,1166728.317998629,4,-0.02436012927205633
2025-01-03,1180698.4017058965,4,0.011973724723876922
2025-01-06,1181265.7133979148,4,0.0004804882357751783
2025-01-07,1155135.6473919346,4,-0.02212039654551301
2025-01-08,1136539.3344640175,4,-0.016098813130651646
2025-01-09,1146736.9534073137,4,0.008972517390350765
2025-01-10,1132485.6693057558,4,-0.01242768366294722
2025-01-13,1125877.3113185293,4,-0.005835268530397841
2025-01-14,1139884.4328349843,4,0.012441072731140812
2025-01-15,1140703.5543261024,4,0.0007186004716994709
2025-01-16,1148215.080957428,4,0.006584994499962971
2025-01-17,1161156.317225764,4,0.011270742287712299
2025-01-20,1154698.1203658693,4,-0.005561866877083932
