date,nav,n_pos,ret
2024-04-03,1000000.0,0,0.0
2024-04-05,1000000.0,0,0.0
2024-04-08,1000000.0,0,0.0
2024-04-09,1000000.0,0,0.0
2024-04-10,1000000.0,0,0.0
2024-04-11,1000000.0,0,0.0
2024-04-12,1000000.0,0,0.0
2024-04-15,1000000.0,0,0.0
2024-04-16,1000000.0,0,0.0
2024-04-17,1000000.0,0,0.0
2024-04-18,1000000.0,0,0.0
2024-04-19,1000000.0,0,0.0
2024-04-22,1000000.0,0,0.0
2024-04-23,1000000.0,0,0.0
2024-04-24,1000000.0,0,0.0
2024-04-25,1000000.0,0,0.0
2024-04-26,1000000.0,0,0.0
2024-04-29,1000000.0,0,0.0
2024-04-30,1000000.0,0,0.0
2024-05-02,1000000.0,0,0.0
2024-05-03,1000000.0,0,0.0
2024-05-06,1000000.0,0,0.0
2024-05-07,1000000.0,0,0.0
2024-05-08,1000000.0,0,0.0
2024-05-09,1000000.0,0,0.0
2024-05-10,1000000.0,0,0.0
2024-05-13,1000000.0,0,0.0
2024-05-14,1000000.0,0,0.0
2024-05-16,1000000.0,0,0.0
2024-05-17,1000000.0,0,0.0
2024-05-20,1000000.0,0,0.0
2024-05-21,1000000.0,0,0.0
2024-05-22,1000000.0,0,0.0
2024-05-23,1000000.0,0,0.0
2024-05-24,1000000.0,0,0.0
2024-05-27,1000000.0,0,0.0
2024-05-28,1000000.0,0,0.0
2024-05-29,1000000.0,0,0.0
2024-05-30,1000000.0,0,0.0
2024-05-31,1000000.0,0,0.0
2024-06-03,1000000.0,0,0.0
2024-06-04,1000000.0,0,0.0
2024-06-05,1000000.0,0,0.0
2024-06-06,1000000.0,0,0.0
2024-06-07,1000000.0,0,0.0
2024-06-11,1000000.0,0,0.0
2024-06-12,1000000.0,0,0.0
2024-06-13,1000000.0,0,0.0
2024-06-14,1000000.0,0,0.0
2024-06-17,1000000.0,0,0.0
2024-06-18,1000000.0,0,0.0
2024-06-19,1000000.0,0,0.0
2024-06-20,1000000.0,0,0.0
2024-06-21,1000000.0,0,0.0
2024-06-24,1000000.0,0,0.0
2024-06-25,1000000.0,0,0.0
2024-06-26,1000000.0,0,0.0
2024-06-27,1000000.0,0,0.0
2024-06-28,1000000.0,0,0.0
2024-07-02,1000000.0,0,0.0
2024-07-03,995333.3462268104,2,-0.004666653773189644
2024-07-04,1011380.153685958,2,0.016122043454064094
2024-07-05,1024565.7942864086,2,0.01303727441397351
2024-07-08,1015131.9351685363,2,-0.009207665501309137
2024-07-09,1013221.76705687,2,-0.0018816944334916208
2024-07-10,995135.8526221524,2,-0.01784990712077994
2024-07-11,1009123.4250646803,2,0.014055942618961037
2024-07-12,1003203.5977426282,2,-0.005866306514163644
2024-07-15,1018428.3453186488,2,0.015176129362253876
2024-07-16,1020012.0809617533,2,0.0015550781263937719
2024-07-17,984988.7444440067,2,-0.034336197748485064
2024-07-18,993491.7328558982,2,0.008632574189150866
2024-07-19,981998.6387214059,2,-0.01156838426974549
2024-07-22,999677.608523362,2,0.01800304919462481
2024-07-23,975116.2908153789,1,-0.024569238621102052
2024-07-24,976591.2156356294,1,0.0015125629980166089
2024-07-25,973641.3659951284,1,-0.0030205572129593516
2024-07-26,967741.6667141265,1,-0.006059417242376575
2024-07-29,969216.5915343771,1,0.0015240894042090058
2024-07-30,966266.7418938759,1,-0.003043540181076776
2024-07-31,967741.6667141265,1,0.0015264157983536641
2024-08-01,981015.9900963809,1,0.013716804637880387
2024-08-02,969216.5915343771,1,-0.012027733167575216
2024-08-05,950042.5688711203,1,-0.01978301117699821
2024-08-06,947092.7192306194,1,-0.0031049657532778996
2024-08-07,947092.7192306194,1,0.0
2024-08-08,950042.5688711203,1,0.003114636593233744
2024-08-09,947092.7192306194,1,-0.0031049657532778996
2024-08-12,942667.9447698678,1,-0.004671954889850727
2024-08-13,941193.0199496173,1,-0.0015646281688410646
2024-08-14,938921.6357264315,0,-0.00241330330234224
2024-08-15,938921.6357264315,0,0.0
2024-08-16,938921.6357264315,0,0.0
2024-08-19,938921.6357264315,0,0.0
2024-08-20,938921.6357264315,0,0.0
2024-08-21,938921.6357264315,0,0.0
2024-08-22,938921.6357264315,0,0.0
2024-08-23,938921.6357264315,0,0.0
2024-08-26,938921.6357264315,0,0.0
2024-08-27,938921.6357264315,0,0.0
2024-08-28,938921.6357264315,0,0.0
2024-08-29,938921.6357264315,0,0.0
2024-08-30,938921.6357264315,0,0.0
2024-09-02,938921.6357264315,0,0.0
2024-09-03,938921.6357264315,0,0.0
2024-09-04,938921.6357264315,0,0.0
2024-09-05,938921.6357264315,0,0.0
2024-09-09,938921.6357264315,0,0.0
2024-09-10,938921.6357264315,0,0.0
2024-09-11,938921.6357264315,0,0.0
2024-09-12,938921.6357264315,0,0.0
2024-09-13,938921.6357264315,0,0.0
2024-09-16,938921.6357264315,0,0.0
2024-09-17,938921.6357264315,0,0.0
2024-09-19,938921.6357264315,0,0.0
2024-09-20,938921.6357264315,0,0.0
2024-09-23,938921.6357264315,0,0.0
2024-09-24,938921.6357264315,0,0.0
2024-09-25,938921.6357264315,0,0.0
2024-09-26,938921.6357264315,0,0.0
2024-09-27,933006.6954874474,9,-0.006299716625879803
2024-09-30,992164.5453581302,9,0.06340560057800637
2024-10-02,1039624.142049598,9,0.04783440097059399
2024-10-03,1023804.0503789623,9,-0.0152171261042926
2024-10-04,1072813.951056372,9,0.04787039146726224
2024-10-07,1129046.8584232659,9,0.052416271536665615
2024-10-08,999353.645441594,9,-0.1148696460329297
2024-10-09,942299.0648232825,8,-0.05709148195792113
2024-10-10,976644.6401967363,8,0.0364486994157156
2024-10-14,959225.8129702266,7,-0.017835378918375944
2024-10-15,935173.0858426304,7,-0.02507514581276482
2024-10-16,930614.6347390083,6,-0.004874446423481893
2024-10-17,919668.0764137682,6,-0.011762718870534483
2024-10-18,942130.5785909639,6,0.02442457529328168
2024-10-21,938329.75002593,6,-0.004034290629562509
2024-10-22,936229.2282448784,6,-0.0022385752780337276
2024-10-23,940601.6973537271,6,0.004670297590522399
2024-10-24,938471.725443049,6,-0.002264478064063158
2024-10-25,932067.0455057858,6,-0.0068245848688084365
2024-10-28,933215.5307876265,6,0.0012321917048547792
2024-10-29,925834.7968025781,6,-0.007908927510903219
2024-10-30,911877.6113613907,6,-0.015075243973751484
2024-10-31,904260.3971841821,5,-0.008353329528330566
2024-11-01,909720.5076054567,5,0.006038205851187417
2024-11-04,910223.056232268,5,0.000552420905772566
2024-11-05,917675.6433090974,5,0.008187649198514224
2024-11-06,913700.2691795963,5,-0.004332003533586315
2024-11-07,920951.6708711104,5,0.007936302457287159
2024-11-08,913754.5700120286,5,-0.007814851839374248
2024-11-11,904001.1935582783,5,-0.010673956414381514
2024-11-12,889341.7393944457,0,-0.0162161889478607
2024-11-13,889341.7393944457,0,0.0
2024-11-14,889341.7393944457,0,0.0
2024-11-15,889341.7393944457,0,0.0
2024-11-18,889341.7393944457,0,0.0
2024-11-19,889341.7393944457,0,0.0
2024-11-20,889341.7393944457,0,0.0
2024-11-21,889341.7393944457,0,0.0
2024-11-22,889341.7393944457,0,0.0
2024-11-25,889341.7393944457,0,0.0
2024-11-26,889341.7393944457,0,0.0
2024-11-27,889341.7393944457,0,0.0
2024-11-28,889341.7393944457,0,0.0
2024-11-29,889341.7393944457,0,0.0
2024-12-02,889341.7393944457,0,0.0
2024-12-03,889341.7393944457,0,0.0
2024-12-04,889341.7393944457,0,0.0
2024-12-05,889341.7393944457,0,0.0
2024-12-06,889341.7393944457,0,0.0
2024-12-09,889341.7393944457,0,0.0
2024-12-10,889341.7393944457,0,0.0
2024-12-11,889341.7393944457,0,0.0
2024-12-12,889341.7393944457,0,0.0
2024-12-13,889341.7393944457,0,0.0
2024-12-16,889341.7393944457,0,0.0
2024-12-17,889341.7393944457,0,0.0
2024-12-18,889341.7393944457,0,0.0
2024-12-19,889341.7393944457,0,0.0
2024-12-20,889341.7393944457,0,0.0
2024-12-23,889341.7393944457,0,0.0
2024-12-24,885191.4858083839,2,-0.004666657823670484
2024-12-27,890550.171472285,2,0.0060537022212852065
2024-12-30,901159.9342393426,2,0.011913717055960227
2024-12-31,906055.0186129918,2,0.0054319818132850806
2025-01-02,890167.2766025907,2,-0.017535074232823522
2025-01-03,891046.9398098146,2,0.000988199892700159
2025-01-06,887031.5186433895,2,-0.0045064081217564
2025-01-07,889972.6967141975,2,0.003315753734778548
2025-01-08,887279.9028121543,2,-0.00302570394798074
2025-01-09,884311.82260116,2,-0.0033451453161366107
2025-01-10,877878.8938416424,2,-0.007274502720765907
2025-01-13,877576.705392506,2,-0.00034422566854752645
2025-01-14,875213.0020797851,2,-0.0026934435453863648
2025-01-15,879611.3181159045,2,0.005025423554800401
2025-01-16,895169.9695369832,2,0.017688098255039364
2025-01-17,892530.9799153116,2,-0.002948031895034009
2025-01-20,894041.9221609943,2,0.0016928737261603377
2025-01-21,891651.3167080877,2,-0.0026739299283955464
2025-01-22,878127.2780104072,2,-0.015167407308509628
2025-01-23,881975.0214286253,2,0.0043817604971070345
2025-01-24,883129.9709448,2,0.0013095036572621233
2025-01-27,885272.1922289417,2,0.0024257146225599158
2025-01-28,880544.7856035,2,-0.0053400600029456236
2025-02-03,879745.8288168334,2,-0.0009073437259854433
2025-02-04,889093.0335069736,2,0.01062489230862429
2025-02-05,888240.2724399355,2,-0.0009591359226767127
2025-02-06,889999.5988543832,2,0.0019806875110661704
