date,nav,cash,n_pos,ret
2024-04-03,1000000.0,1000000.0,0,0.0
2024-04-05,1000000.0,1000000.0,0,0.0
2024-04-08,1000000.0,1000000.0,0,0.0
2024-04-09,1000000.0,1000000.0,0,0.0
2024-04-10,1000000.0,1000000.0,0,0.0
2024-04-11,1000000.0,1000000.0,0,0.0
2024-04-12,1000000.0,1000000.0,0,0.0
2024-04-15,1000000.0,1000000.0,0,0.0
2024-04-16,1000000.0,1000000.0,0,0.0
2024-04-17,1000000.0,1000000.0,0,0.0
2024-04-18,1000000.0,1000000.0,0,0.0
2024-04-19,1000000.0,1000000.0,0,0.0
2024-04-22,1000000.0,1000000.0,0,0.0
2024-04-23,1000000.0,1000000.0,0,0.0
2024-04-24,1000000.0,1000000.0,0,0.0
2024-04-25,1000000.0,1000000.0,0,0.0
2024-04-26,1000000.0,1000000.0,0,0.0
2024-04-29,1000000.0,1000000.0,0,0.0
2024-04-30,1000000.0,1000000.0,0,0.0
2024-05-02,1000000.0,1000000.0,0,0.0
2024-05-03,1000000.0,1000000.0,0,0.0
2024-05-06,1000000.0,1000000.0,0,0.0
2024-05-07,1000000.0,1000000.0,0,0.0
2024-05-08,1000000.0,1000000.0,0,0.0
2024-05-09,1000000.0,1000000.0,0,0.0
2024-05-10,1000000.0,1000000.0,0,0.0
2024-05-13,1000000.0,1000000.0,0,0.0
2024-05-14,1000000.0,1000000.0,0,0.0
2024-05-16,1000000.0,1000000.0,0,0.0
2024-05-17,1000000.0,1000000.0,0,0.0
2024-05-20,1000000.0,1000000.0,0,0.0
2024-05-21,1000000.0,1000000.0,0,0.0
2024-05-22,1000000.0,1000000.0,0,0.0
2024-05-23,1000000.0,1000000.0,0,0.0
2024-05-24,1000000.0,1000000.0,0,0.0
2024-05-27,1000000.0,1000000.0,0,0.0
2024-05-28,1000000.0,1000000.0,0,0.0
2024-05-29,1000000.0,1000000.0,0,0.0
2024-05-30,1000000.0,1000000.0,0,0.0
2024-05-31,1000000.0,1000000.0,0,0.0
2024-06-03,1000000.0,1000000.0,0,0.0
2024-06-04,1000000.0,1000000.0,0,0.0
2024-06-05,1000000.0,1000000.0,0,0.0
2024-06-06,1000000.0,1000000.0,0,0.0
2024-06-07,1000000.0,1000000.0,0,0.0
2024-06-11,1000000.0,1000000.0,0,0.0
2024-06-12,1000000.0,1000000.0,0,0.0
2024-06-13,1000000.0,1000000.0,0,0.0
2024-06-14,1000000.0,1000000.0,0,0.0
2024-06-17,1000000.0,1000000.0,0,0.0
2024-06-18,1000000.0,1000000.0,0,0.0
2024-06-19,1000000.0,1000000.0,0,0.0
2024-06-20,1000000.0,1000000.0,0,0.0
2024-06-21,1000000.0,1000000.0,0,0.0
2024-06-24,1000000.0,1000000.0,0,0.0
2024-06-25,1000000.0,1000000.0,0,0.0
2024-06-26,1000000.0,1000000.0,0,0.0
2024-06-27,1000000.0,1000000.0,0,0.0
2024-06-28,1000000.0,1000000.0,0,0.0
2024-07-02,1000000.0,1000000.0,0,0.0
2024-07-03,998000.005525776,331335.1807843877,2,-0.001999994474224054
2024-07-04,1014046.8129849236,331335.1807843877,2,0.016078965300900583
2024-07-05,1027232.4535853742,331335.1807843877,2,0.01300299003123695
2024-07-08,1017798.5944675019,331335.1807843877,2,-0.009183762725705424
2024-07-09,1015888.4263558355,331335.1807843877,2,-0.0018767643441929271
2024-07-10,996881.5904945116,23440.450489015784,6,-0.018709570232534944
2024-07-11,1020487.0506359464,23440.450489015784,6,0.023679301901567973
2024-07-12,1024259.7189923414,23440.450489015784,6,0.0036969291810649008
2024-07-15,1056756.82813531,711130.9948507429,4,0.03172741106614918
2024-07-16,1058991.0217371355,711130.9948507429,4,0.002114198406238721
2024-07-17,1061179.502622033,148.73155871624476,8,0.002066571708330134
2024-07-18,1085596.3164454517,148.73155871624476,8,0.02300912688483714
2024-07-19,1071822.0590233782,148.73155871624476,8,-0.012688194693930344
2024-07-22,1096156.7735089906,350603.6090226459,4,0.02270406200427133
2024-07-23,1090262.0810899786,350603.6090226459,4,-0.005377599775388098
2024-07-24,1079954.8765962494,157343.47657825617,4,-0.009453877808374922
2024-07-25,1058395.9493151372,157343.47657825617,4,-0.019962803769228432
2024-07-26,1086512.1765340462,157343.47657825617,4,0.026564942200602903
2024-07-29,1094600.1526382286,719366.3911830042,1,0.0074439810973705445
2024-07-30,1090629.4250037817,719366.3911830042,1,-0.0036275599129751424
2024-07-31,1098570.8802726753,719366.3911830042,1,0.007281534026891023
2024-08-01,1097578.1983640636,719366.3911830042,1,-0.0009036120713169504
2024-08-02,1092614.7888210053,719366.3911830042,1,-0.004522146622861434
2024-08-05,1073680.3740961454,1073680.3740961454,0,-0.017329451256367534
2024-08-06,1073680.3740961454,1073680.3740961454,0,0.0
2024-08-07,1070674.4339788628,68694.39488460697,14,-0.0027996601128273957
2024-08-08,1077844.844186858,68694.39488460697,14,0.0066970966901194195
2024-08-09,1082701.8858387994,68694.39488460697,14,0.0045062530828410274
2024-08-12,1087276.4823326385,68694.39488460697,14,0.0042251671985358286
2024-08-13,1093820.9442294715,68694.39488460697,14,0.006019133130510168
2024-08-14,1089686.4180470442,20794.1290863202,14,-0.003779893047613725
2024-08-15,1092889.1273302753,20794.1290863202,14,0.0029391109498924095
2024-08-16,1110205.3777341614,20794.1290863202,14,0.015844471292514983
2024-08-19,1109108.5711821523,987544.6145244837,1,-0.000987931218859428
2024-08-20,1109556.3205621068,987544.6145244837,1,0.00040370202844730585
2024-08-21,1106033.8180162746,34400.91074843703,13,-0.0031746946780021323
2024-08-22,1122669.7048333012,34400.91074843703,13,0.015041029077089041
2024-08-23,1129762.4103077333,34400.91074843703,13,0.00631771343245191
2024-08-26,1138787.6574756235,155600.1755361326,12,0.007988624055417004
2024-08-27,1148139.2122917555,155600.1755361326,12,0.0082118512215541
2024-08-28,1138067.9366454622,91372.15750999589,12,-0.008771824477791679
2024-08-29,1162321.6273496072,91372.15750999589,12,0.021311285489365783
2024-08-30,1190534.7038134742,91372.15750999589,12,0.024273037513893758
2024-09-02,1178439.4556539601,829365.4697758618,3,-0.010159509101894337
2024-09-03,1184142.8461673039,829365.4697758618,3,0.0048397823799770645
2024-09-04,1181725.574925614,37750.702825270884,7,-0.0020413679392766726
2024-09-05,1198732.9386720501,37750.702825270884,7,0.01439197399743719
2024-09-09,1188846.8257173623,37750.702825270884,7,-0.008247135484271917
2024-09-10,1202776.1672834419,391912.40299203625,4,0.011716683146017814
2024-09-11,1214694.5294948593,391912.40299203625,4,0.00990904420590244
2024-09-12,1204652.336441161,69487.07390034146,8,-0.008267257989442278
2024-09-13,1212451.373426294,69487.07390034146,8,0.006474097753525365
2024-09-16,1213247.5573865816,69487.07390034146,8,0.0006566729006522998
2024-09-17,1219390.4554572124,888909.290485637,4,0.005063186019399923
2024-09-19,1224806.3282397606,888909.290485637,4,0.004441459057113573
2024-09-20,1233014.8211386367,63369.558348303486,14,0.00670187009130907
2024-09-23,1230853.0591129444,63369.558348303486,14,-0.0017532327986908847
2024-09-24,1286802.3610632224,63369.558348303486,14,0.04545571182201047
2024-09-25,1289725.602479796,419636.89956208377,10,0.0022717097085198645
2024-09-26,1369083.7130942536,419636.89956208377,10,0.061531003542050655
2024-09-27,1422541.391373531,134105.26676208377,12,0.03904631818200377
2024-09-30,1531332.851512135,134105.26676208377,12,0.07647683279961415
2024-10-02,1664087.1477770077,134105.26676208377,12,0.08669199262184102
2024-10-03,1614895.93135995,1266213.67135995,2,-0.029560480941620337
2024-10-04,1628240.17135995,1266213.67135995,2,0.008263219778355868
2024-10-07,1658688.50395995,1658688.50395995,0,0.018700148255505145
2024-10-08,1658688.50395995,1658688.50395995,0,0.0
2024-10-09,1658688.50395995,1658688.50395995,0,0.0
2024-10-10,1658688.50395995,1658688.50395995,0,0.0
2024-10-14,1658688.50395995,1658688.50395995,0,0.0
2024-10-15,1654334.6937545836,203064.62529901642,7,-0.0026248510163132677
2024-10-16,1657202.127836517,203064.62529901642,7,0.0017332853459208764
2024-10-17,1650392.9901299214,203064.62529901642,7,-0.004108815449980763
2024-10-18,1711542.352155965,203064.62529901642,7,0.03705139466281304
2024-10-21,1700980.6038600495,203064.62529901642,7,-0.006170895089222528
2024-10-22,1691160.2680612374,81880.15929901644,8,-0.005773337906691434
2024-10-23,1748153.8738691085,81880.15929901644,8,0.033700889788055965
2024-10-24,1725065.4433247417,81880.15929901644,8,-0.013207321672014105
2024-10-25,1747711.5997207772,1575540.2497207772,1,0.01312770856529899
2024-10-28,1747711.5997207772,1575540.2497207772,1,0.0
2024-10-29,1730943.8097038246,8991.320719560259,10,-0.009594140142819674
2024-10-30,1733698.5870371,8991.320719560259,10,0.001591488595893198
2024-10-31,1754957.0574698937,8991.320719560259,10,0.01226191830099177
