fm_thr,rsi_w_coef,trend_filter,ta_rsi_sell,return,sharpe,max_dd,buy_cnt,sell_cnt,composite
10.0,0.25,0.8,82,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.8,78,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.8,75,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.8,72,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.6,82,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.6,78,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.6,75,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.6,72,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.4,82,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.4,78,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.4,75,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.25,0.4,72,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,1.0,82,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,1.0,78,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,1.0,75,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,1.0,72,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,0.8,82,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,0.8,78,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,0.8,75,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
10.0,0.2,0.8,72,50.045251013825045,0.28957389948931256,-33.790189067850804,662,0,1.8158165230069239
