factor,market,IC,RankIC,absRankIC,win_rate,n_months
weekly_rsi,CSI300,0.45849939585461325,0.49888193056763935,0.49888193056763935,1.0,25
resonance,CSI300,-0.3466326358590812,-0.39146903797524846,0.39146903797524846,,25
monthly_rsi,CSI300,0.21409425843406088,0.2095393446062703,0.2095393446062703,1.0,24
rsi_5,CSI300,0.21927447962356186,0.20496965561135688,0.20496965561135688,1.0,25
rsi_14,CSI300,0.16200725963980678,0.11545896682511542,0.11545896682511542,1.0,25
mom_60d,CSI300,-0.02480094121302876,-0.0709875336831185,0.0709875336831185,1.0,25
mfi_14,CSI300,0.11201855614864373,0.06939249031792111,0.06939249031792111,1.0,25
mom_5d,CSI300,-0.02875914205079362,-0.06773829241959016,0.06773829241959016,1.0,25
rsi_28,CSI300,0.11431529274155197,0.06690205418444674,0.06690205418444674,1.0,25
mom_10d,CSI300,0.0038721548997850664,-0.06264112914161711,0.06264112914161711,1.0,25
bb_pos_10,CSI300,-0.006618725730959374,-0.058700809315942404,0.058700809315942404,1.0,25
cci_14,CSI300,0.011320964285956457,-0.04886865055084014,0.04886865055084014,1.0,25
vol_regime,CSI300,0.063405187523478,0.04781935445535551,0.04781935445535551,1.0,19
mom_3d,CSI300,-0.01934880992284357,-0.0417362887615567,0.0417362887615567,1.0,25
bb_pos_5,CSI300,-0.0024326697748816273,-0.040115919527929915,0.040115919527929915,1.0,25
williams_r_5,CSI300,0.0012962128799001045,0.039459974203518634,0.039459974203518634,1.0,25
atr_pct_30d,CSI300,0.019080600500926154,-0.03817665149406901,0.03817665149406901,1.0,25
pv_corr_20d,CSI300,-0.001479026834807585,-0.0372061992462889,0.0372061992462889,1.0,25
mom_accel,CSI300,-0.04778543465062848,-0.03611282933071477,0.03611282933071477,1.0,25
stoch_k_14,CSI300,0.016207999900301136,-0.03382080904384721,0.03382080904384721,1.0,25
williams_r_14,CSI300,-0.01620799989482887,0.0337903234262621,0.0337903234262621,1.0,25
bb_pos_20,CSI300,0.02672644630372431,-0.03330563170752202,0.03330563170752202,1.0,25
stoch_d_14,CSI300,0.01666732678935126,-0.02958405234575929,0.02958405234575929,1.0,25
vol_burst,CSI300,0.03752907657482436,-0.028659648816149783,0.028659648816149783,1.0,25
vol_drought,CSI300,0.03756156877907991,-0.02759028695999175,0.02759028695999175,1.0,25
mf_ratio_14d,CSI300,-0.009087156856878128,0.02715396165559672,0.02715396165559672,1.0,25
mom_20d,CSI300,0.02946488091682002,-0.02535101337821214,0.02535101337821214,1.0,25
cci_28,CSI300,0.022063860144378767,-0.025229048710337536,0.025229048710337536,1.0,25
macd_hist_ma5,CSI300,0.0008273351842207797,0.023032557677920514,0.023032557677920514,1.0,25
adx_28,CSI300,-0.010695840394238465,-0.022553444903610196,0.022553444903610196,1.0,25
adx_14,CSI300,0.02379586197005826,0.017965523118896508,0.017965523118896508,1.0,25
cons_up,CSI300,-0.013335120120382018,-0.01755105120108154,0.01755105120108154,1.0,25
vol_pct_60d,CSI300,0.015311844254743516,-0.016986750956637122,0.016986750956637122,1.0,25
macd_hist,CSI300,-0.03230171229055686,-0.014598686017282479,0.014598686017282479,1.0,25
ma_slope_20d,CSI300,0.04410429436521853,-0.010962593757386726,0.010962593757386726,1.0,25
vwap_dev_20d,CSI300,-0.021658104059242476,-0.009053828679757025,0.009053828679757025,1.0,25
obv_div,CSI300,-0.005241588469399605,-0.008679504714227654,0.008679504714227654,1.0,25
vol_annual_20d,CSI300,0.059791548187992004,-0.007077367455690778,0.007077367455690778,1.0,25
obv,CSI300,0.0019828120285763935,-0.006555417410615006,0.006555417410615006,1.0,25
vol_pct_30d,CSI300,0.04576066558170432,-0.005872610235545609,0.005872610235545609,1.0,25
cons_down,CSI300,-0.020041388312914087,0.00475860982772416,0.00475860982772416,1.0,25
max_cons_down,CSI300,-0.020041388312914087,0.00475860982772416,0.00475860982772416,1.0,25
vol_surge,CSI300,0.03931563823185576,-0.0033339010174434263,0.0033339010174434263,1.0,25
