factor,market,IC,RankIC,absRankIC,win_rate,n_months
weekly_rsi,SPX,0.5187280282647576,0.5323253783744266,0.5323253783744266,1.0,25
resonance,SPX,-0.3350360703878718,-0.37592226031203746,0.37592226031203746,,25
monthly_rsi,SPX,0.24847567108935592,0.24863116960997397,0.24863116960997397,1.0,24
rsi_5,SPX,0.22659208051395632,0.23955417489385064,0.23955417489385064,1.0,25
rsi_14,SPX,0.16231638848790367,0.15981918227814718,0.15981918227814718,1.0,25
rsi_28,SPX,0.12879169592148104,0.12045762065441114,0.12045762065441114,1.0,25
mfi_14,SPX,0.08823899170604091,0.07499126466855399,0.07499126466855399,1.0,25
vol_annual_20d,SPX,0.030095152082338747,0.04334435072710061,0.04334435072710061,1.0,25
vol_regime,SPX,-0.03596682026295793,-0.038966895318332306,0.038966895318332306,1.0,15
adx_28,SPX,0.03545996366969562,0.03824502190182876,0.03824502190182876,1.0,25
stoch_k_14,SPX,0.03630782794561162,0.03363917266220036,0.03363917266220036,1.0,25
williams_r_14,SPX,-0.036307827947086785,-0.03363913757531137,0.03363913757531137,1.0,25
adx_14,SPX,0.009078364855875216,0.02887069467218061,0.02887069467218061,1.0,25
williams_r_5,SPX,-0.014231053177861542,-0.027883473385821554,0.027883473385821554,1.0,25
obv_div,SPX,-0.13717582082280744,-0.027176211067851896,0.027176211067851896,1.0,25
bb_pos_10,SPX,0.01869111284741814,0.024932721483106105,0.024932721483106105,1.0,25
stoch_d_14,SPX,0.03353200033030378,0.023577491585248623,0.023577491585248623,1.0,25
macd_hist_ma5,SPX,-0.01303463376114873,-0.0216672871435271,0.0216672871435271,1.0,25
cci_14,SPX,0.016766679074324473,0.021648628504955574,0.021648628504955574,1.0,25
macd_hist,SPX,-0.02488615553297965,-0.021307147254756048,0.021307147254756048,1.0,25
mom_5d,SPX,-0.006555704781531222,0.020500748604854017,0.020500748604854017,1.0,25
bb_pos_20,SPX,0.015546865815412463,0.020123380579457218,0.020123380579457218,1.0,25
mom_20d,SPX,-0.023931867198308438,-0.018210768658386087,0.018210768658386087,1.0,25
mom_3d,SPX,-0.009777136751597375,0.015616473997091117,0.015616473997091117,1.0,25
bb_pos_5,SPX,0.0017353986574106404,0.015263437269723025,0.015263437269723025,1.0,25
cons_down,SPX,-0.016647658172531252,-0.014803966025362054,0.014803966025362054,1.0,25
max_cons_down,SPX,-0.016647658172531252,-0.014803966025362054,0.014803966025362054,1.0,25
cci_28,SPX,0.015591062972800374,0.014689202400146139,0.014689202400146139,1.0,25
vwap_dev_20d,SPX,0.01591511520001897,0.011960673799322271,0.011960673799322271,1.0,25
vol_drought,SPX,-0.01991563885000293,-0.009481390981230811,0.009481390981230811,1.0,25
mf_ratio_14d,SPX,-0.027912563730720045,-0.008591648739123483,0.008591648739123483,1.0,25
mom_60d,SPX,0.035510268901628936,0.007529131210499557,0.007529131210499557,1.0,25
obv,SPX,0.020738980831351783,0.0075099941153358865,0.0075099941153358865,1.0,25
pv_corr_20d,SPX,-0.013304130407220931,-0.006246000598440081,0.006246000598440081,1.0,25
vol_burst,SPX,-0.02180827649210396,-0.004970619211187847,0.004970619211187847,1.0,25
vol_pct_30d,SPX,-0.005505471434020282,-0.004770257516810428,0.004770257516810428,1.0,25
mom_10d,SPX,-0.002816246022932454,0.004424617433543808,0.004424617433543808,1.0,25
mom_accel,SPX,-0.005577041177104731,0.0042752127188872445,0.0042752127188872445,1.0,25
cons_up,SPX,-0.01072302123381317,0.003265207825188356,0.003265207825188356,1.0,25
vol_pct_60d,SPX,-0.004372471169060011,0.0032341600184965106,0.0032341600184965106,1.0,25
atr_pct_30d,SPX,0.005779907343219345,-0.0030544918371091983,0.0030544918371091983,1.0,25
ma_slope_20d,SPX,-0.007810591461311787,-0.0022828179537960763,0.0022828179537960763,1.0,25
vol_surge,SPX,-0.00929403978172713,0.0013052450712273565,0.0013052450712273565,1.0,25
